DUT,CMH,CML,freq,Sys11,Sys14
open,3,2,580000,1.88E-13,2.04E-13
open,3,2,590000,1.87E-13,2.03E-13
open,3,2,600000,1.86E-13,2.02E-13
open,3,2,610000,1.85E-13,2.02E-13
open,3,2,620000,1.85E-13,2.02E-13
open,3,2,630000,1.84E-13,2.02E-13
open,3,2,640000,1.84E-13,2.01E-13
open,3,2,650000,1.83E-13,2.01E-13
open,3,2,660000,1.82E-13,2.00E-13
open,3,2,670000,1.81E-13,2.00E-13
open,3,2,680000,1.80E-13,1.99E-13
open,3,2,690000,1.80E-13,1.98E-13
open,3,2,700000,1.79E-13,1.98E-13
open,3,2,710000,1.78E-13,1.98E-13
open,3,2,720000,1.77E-13,1.97E-13
open,3,2,730000,1.76E-13,1.97E-13
open,3,2,740000,1.76E-13,1.96E-13
open,3,2,750000,1.75E-13,1.97E-13
open,3,2,760000,1.74E-13,1.95E-13
open,3,2,770000,1.73E-13,1.95E-13
open,3,2,780000,1.72E-13,1.94E-13
open,3,2,790000,1.71E-13,1.94E-13
open,3,2,800000,1.70E-13,1.93E-13
open,3,2,810000,1.70E-13,1.92E-13
open,3,2,820000,1.69E-13,1.92E-13
open,3,2,830000,1.68E-13,1.91E-13
open,3,2,840000,1.67E-13,1.91E-13
open,3,2,850000,1.66E-13,1.90E-13
open,3,2,860000,1.65E-13,1.90E-13
open,3,2,870000,1.64E-13,1.90E-13
open,3,2,880000,1.63E-13,1.89E-13
open,3,2,890000,1.62E-13,1.88E-13
open,3,2,900000,1.61E-13,1.88E-13
open,3,2,910000,1.60E-13,1.87E-13
open,3,2,920000,1.59E-13,1.87E-13
open,3,2,930000,1.58E-13,1.86E-13
open,3,2,940000,1.57E-13,1.85E-13
open,3,2,950000,1.56E-13,1.85E-13
open,3,2,960000,1.54E-13,1.84E-13
open,3,2,970000,1.53E-13,1.83E-13
open,3,2,980000,1.55E-13,1.85E-13
open,3,2,990000,1.54E-13,1.85E-13
open,3,2,1000000,1.53E-13,1.82E-13
